Trajectory ID,SMILES,Molality,Monomer Molecular Weight,Degree of Polymerization,Density,CONDUCTIVITY,TFSI Diffusivity,Li Diffusivity,Poly Diffusivity,Transference Number
24136,COC(=O)CNC(=O)C(NC(=O)*)C(C)O*,1.49E+00,4.77E+02,3.10E+01,1.45E+00,4.72E-05,1.69E-08,9.90E-09,8.19E-09,3.50E-02
24137,CC(CS(=O)(=O)CCOC(=O)*)O*,1.49E+00,4.55E+02,1.90E+01,1.51E+00,7.69E-05,2.71E-08,1.26E-08,1.44E-08,1.70E-02
24138,COCC(COC(=O)*)NC(=O)CO*,1.38E+00,4.50E+02,1.90E+01,1.44E+00,8.00E-05,2.18E-08,1.20E-08,1.07E-08,2.04E-01
24139,CNC(COC(=O)*)C(=O)NCCN*,1.41E+00,4.48E+02,1.70E+01,1.38E+00,6.23E-05,2.17E-08,1.43E-08,1.01E-08,2.89E-01
24140,COCC(N*)C(=O)NCCCCOC(=O)*,1.43E+00,4.77E+02,1.60E+01,1.34E+00,6.24E-05,1.71E-08,1.41E-08,1.32E-08,2.27E-01
24141,CC(=O)CCC(=O)NCC(COC(=O)*)O*,1.49E+00,4.76E+02,3.10E+01,1.43E+00,5.06E-05,1.42E-08,1.17E-08,9.31E-09,4.43E-01
24142,O=C(CCOC(=O)*)NCCCO*,1.49E+00,4.34E+02,1.60E+01,1.41E+00,8.04E-05,1.72E-08,1.21E-08,1.26E-08,1.66E-01
24143,CC(C)OCC(=O)NC(CO*)COC(=O)*,1.47E+00,4.78E+02,2.60E+01,1.35E+00,7.61E-05,2.36E-08,1.27E-08,1.02E-08,4.39E-02
24144,CCOCCC(=O)NCC(CO*)OC(=O)*,1.48E+00,4.78E+02,3.10E+01,1.36E+00,1.40E-04,4.42E-08,1.83E-08,1.34E-08,1.47E-01
24145,O=C(CCO*)NCCNCCOC(=O)*,1.45E+00,4.63E+02,1.30E+01,1.37E+00,1.26E-04,2.93E-08,1.62E-08,1.65E-08,2.48E-01
24146,COC(CN*)C(=O)NCCCCOC(=O)*,1.49E+00,4.77E+02,1.40E+01,1.33E+00,7.05E-05,2.47E-08,1.57E-08,1.38E-08,1.44E-01
24147,CCOCC(=O)NCC(COC(=O)*)O*,1.32E+00,4.64E+02,3.10E+01,1.39E+00,5.83E-05,1.86E-08,1.17E-08,9.26E-09,2.88E-01
24148,CN(C)CC(=O)NC(CO*)COC(=O)*,1.35E+00,4.63E+02,2.60E+01,1.34E+00,8.08E-05,2.44E-08,8.26E-09,1.12E-08,5.85E-02
24149,CNCC(C)C(=O)NCC(CO*)OC(=O)*,1.49E+00,4.77E+02,3.10E+01,1.34E+00,5.18E-05,2.09E-08,1.19E-08,1.06E-08,2.13E-01
24150,COCC(CO*)NC(=O)CCCNC(=O)*,1.43E+00,4.77E+02,1.60E+01,1.35E+00,7.70E-05,1.80E-08,1.37E-08,8.90E-09,1.17E-01
24151,COCCC(CO*)NC(=O)COC(=O)*,1.43E+00,4.64E+02,1.90E+01,1.41E+00,7.26E-05,2.41E-08,1.09E-08,1.17E-08,1.88E-01
24152,CNC(=O)NC(CO*)COC(=O)*,1.37E+00,4.35E+02,2.60E+01,1.48E+00,4.00E-05,1.26E-08,4.70E-09,4.55E-09,1.69E-01
